songs	artists	album	release date	image
Just Like A Movie	Prateek Kuhad	Just Like A Movie	2024-03-29	['https://i.scdn.co/image/ab67616d0000b2734e11945fc4a88ada743a26f6', 'https://i.scdn.co/image/ab67616d00001e024e11945fc4a88ada743a26f6', 'https://i.scdn.co/image/ab67616d000048514e11945fc4a88ada743a26f6']
Can't Help Falling in Love	Haley Reinhart	Better	2016-04-29	['https://i.scdn.co/image/ab67616d0000b273250d91f9b9c3918c668e167c', 'https://i.scdn.co/image/ab67616d00001e02250d91f9b9c3918c668e167c', 'https://i.scdn.co/image/ab67616d00004851250d91f9b9c3918c668e167c']
Co2	Prateek Kuhad	The Way That Lovers Do	2022-05-20	['https://i.scdn.co/image/ab67616d0000b27316168e9d75e544b005bc0a0a', 'https://i.scdn.co/image/ab67616d00001e0216168e9d75e544b005bc0a0a', 'https://i.scdn.co/image/ab67616d0000485116168e9d75e544b005bc0a0a']
Yellow Paper Daisy	When Chai Met Toast	Yellow Paper Daisy	2021-09-17	['https://i.scdn.co/image/ab67616d0000b273fc3b86df0eb110c1f0eec971', 'https://i.scdn.co/image/ab67616d00001e02fc3b86df0eb110c1f0eec971', 'https://i.scdn.co/image/ab67616d00004851fc3b86df0eb110c1f0eec971']
Say You Won't Let Go	James Arthur	Back from the Edge	2016-10-28	['https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab', 'https://i.scdn.co/image/ab67616d00001e0220beb61f61fcbeb33b10a9ab', 'https://i.scdn.co/image/ab67616d0000485120beb61f61fcbeb33b10a9ab']
Love Like You (feat. Rebecca Sugar) - End Credits	Steven Universe,Rebecca Sugar	Steven Universe, Vol. 1 (Original Soundtrack)	2017-06-02	['https://i.scdn.co/image/ab67616d0000b273e18ff29a2fe8e9c0df309fa6', 'https://i.scdn.co/image/ab67616d00001e02e18ff29a2fe8e9c0df309fa6', 'https://i.scdn.co/image/ab67616d00004851e18ff29a2fe8e9c0df309fa6']
La Vie En Rose	Emily Watts	La Vie En Rose	2019-12-29	['https://i.scdn.co/image/ab67616d0000b273cd99b58ac0ddac2f3f2f9cb7', 'https://i.scdn.co/image/ab67616d00001e02cd99b58ac0ddac2f3f2f9cb7', 'https://i.scdn.co/image/ab67616d00004851cd99b58ac0ddac2f3f2f9cb7']
I'm Someone New	Prateek Kuhad	I'm Someone New	2024-06-28	['https://i.scdn.co/image/ab67616d0000b2739e142faa097c81365bccdedc', 'https://i.scdn.co/image/ab67616d00001e029e142faa097c81365bccdedc', 'https://i.scdn.co/image/ab67616d000048519e142faa097c81365bccdedc']
THE SHADE	Rex Orange County	WHO CARES?	2022-03-11	['https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0', 'https://i.scdn.co/image/ab67616d00001e025b656d32ea6b0b9c54c2d2e0', 'https://i.scdn.co/image/ab67616d000048515b656d32ea6b0b9c54c2d2e0']
Somethin' Stupid	Frank Sinatra,Nancy Sinatra	The World We Knew	1967-08	['https://i.scdn.co/image/ab67616d0000b2733e2331ff09f59ea3c87fe5d6', 'https://i.scdn.co/image/ab67616d00001e023e2331ff09f59ea3c87fe5d6', 'https://i.scdn.co/image/ab67616d000048513e2331ff09f59ea3c87fe5d6']
Choo Lo	The Local Train	Aalas Ka Pedh	2015-09-25	['https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d00001e028e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d000048518e001d2d4b55039b545d047e']
Aaoge Tum Kabhi	The Local Train	Aalas Ka Pedh	2015-09-25	['https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d00001e028e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d000048518e001d2d4b55039b545d047e']
Dil Mere	The Local Train	Aalas Ka Pedh	2015-09-25	['https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d00001e028e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d000048518e001d2d4b55039b545d047e']
Aaftaab	The Local Train	Vaaqif	2018-01-29	['https://i.scdn.co/image/ab67616d0000b27373c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d00001e0273c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d0000485173c6514b296e0b53dc7b75b3']
Khudi	The Local Train	Vaaqif	2018-01-29	['https://i.scdn.co/image/ab67616d0000b27373c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d00001e0273c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d0000485173c6514b296e0b53dc7b75b3']
Kaisey Jiyun	The Local Train	Aalas Ka Pedh	2015-09-25	['https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d00001e028e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d000048518e001d2d4b55039b545d047e']
Dilnawaz	The Local Train	Vaaqif	2018-01-29	['https://i.scdn.co/image/ab67616d0000b27373c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d00001e0273c6514b296e0b53dc7b75b3', 'https://i.scdn.co/image/ab67616d0000485173c6514b296e0b53dc7b75b3']
Yeh Zindagi Hai	The Local Train	Aalas Ka Pedh	2015-09-25	['https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d00001e028e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d000048518e001d2d4b55039b545d047e']
Bandey	The Local Train	Aalas Ka Pedh	2015-09-25	['https://i.scdn.co/image/ab67616d0000b2738e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d00001e028e001d2d4b55039b545d047e', 'https://i.scdn.co/image/ab67616d000048518e001d2d4b55039b545d047e']
Sparks	Coldplay	Parachutes	2000-07-10	['https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a', 'https://i.scdn.co/image/ab67616d00001e029164bafe9aaa168d93f4816a', 'https://i.scdn.co/image/ab67616d000048519164bafe9aaa168d93f4816a']
Give Me Your Forever	Zack Tabudlo	Episode	2021-10-15	['https://i.scdn.co/image/ab67616d0000b2730acfd1cc37e7d4eacfa49c48', 'https://i.scdn.co/image/ab67616d00001e020acfd1cc37e7d4eacfa49c48', 'https://i.scdn.co/image/ab67616d000048510acfd1cc37e7d4eacfa49c48']
Hey Lover!	Wabie	Cyclones and Hey Lover	2019-06-19	['https://i.scdn.co/image/ab67616d0000b27391ee4ab5782c9b197766ca02', 'https://i.scdn.co/image/ab67616d00001e0291ee4ab5782c9b197766ca02', 'https://i.scdn.co/image/ab67616d0000485191ee4ab5782c9b197766ca02']
Only Girl	Stephen Sanchez	Only Girl	2023-04-28	['https://i.scdn.co/image/ab67616d0000b2737b60e8763f80fed587b77800', 'https://i.scdn.co/image/ab67616d00001e027b60e8763f80fed587b77800', 'https://i.scdn.co/image/ab67616d000048517b60e8763f80fed587b77800']
Be More	Stephen Sanchez	Be More	2023-08-03	['https://i.scdn.co/image/ab67616d0000b273d8623313343c12b4b46f8235', 'https://i.scdn.co/image/ab67616d00001e02d8623313343c12b4b46f8235', 'https://i.scdn.co/image/ab67616d00004851d8623313343c12b4b46f8235']
Till Forever Falls Apart	Ashe,FINNEAS	Ashlyn	2021-05-07	['https://i.scdn.co/image/ab67616d0000b273639c6811b5d0c6cfb145de3a', 'https://i.scdn.co/image/ab67616d00001e02639c6811b5d0c6cfb145de3a', 'https://i.scdn.co/image/ab67616d00004851639c6811b5d0c6cfb145de3a']
things that i miss	awfultune,Sandosius	peace and quiet	2018-04-02	['https://i.scdn.co/image/ab67616d0000b2731d48c62a7b6b494a42032bb5', 'https://i.scdn.co/image/ab67616d00001e021d48c62a7b6b494a42032bb5', 'https://i.scdn.co/image/ab67616d000048511d48c62a7b6b494a42032bb5']
Happening Again	Katherine Li	Happening Again	2022-06-15	['https://i.scdn.co/image/ab67616d0000b27334d43a64a513c43438db35dc', 'https://i.scdn.co/image/ab67616d00001e0234d43a64a513c43438db35dc', 'https://i.scdn.co/image/ab67616d0000485134d43a64a513c43438db35dc']
Am I Talking Too Much	OSTON	Am I Talking Too Much?	2021-08-06	['https://i.scdn.co/image/ab67616d0000b27384a068d4f3e683cbb32ac709', 'https://i.scdn.co/image/ab67616d00001e0284a068d4f3e683cbb32ac709', 'https://i.scdn.co/image/ab67616d0000485184a068d4f3e683cbb32ac709']
All of the Stars	Hayd	All of the Stars	2024-02-14	['https://i.scdn.co/image/ab67616d0000b2731a86665f63595260109f9490', 'https://i.scdn.co/image/ab67616d00001e021a86665f63595260109f9490', 'https://i.scdn.co/image/ab67616d000048511a86665f63595260109f9490']
Time in a Bottle	Jim Croce	You Don't Mess Around With Jim	1972-04-01	['https://i.scdn.co/image/ab67616d0000b2736c955079f53ae636e7bef0ee', 'https://i.scdn.co/image/ab67616d00001e026c955079f53ae636e7bef0ee', 'https://i.scdn.co/image/ab67616d000048516c955079f53ae636e7bef0ee']
Hell N Back	Bakar	Hell N Back (Sped Up)	2019-08-14	['https://i.scdn.co/image/ab67616d0000b2733ee73eb16af247a0ea057542', 'https://i.scdn.co/image/ab67616d00001e023ee73eb16af247a0ea057542', 'https://i.scdn.co/image/ab67616d000048513ee73eb16af247a0ea057542']
Fly Me To The Moon (In Other Words)	Frank Sinatra,Count Basie	Sinatra/Basie: The Complete Reprise Studio Recordings	1962-12-10	['https://i.scdn.co/image/ab67616d0000b273cb81eb3c1238c60f2bbfd3b5', 'https://i.scdn.co/image/ab67616d00001e02cb81eb3c1238c60f2bbfd3b5', 'https://i.scdn.co/image/ab67616d00004851cb81eb3c1238c60f2bbfd3b5']
Alien Blues	Vundabar	Gawk	2015-07-24	['https://i.scdn.co/image/ab67616d0000b273578b0e6109b76bad0821ca71', 'https://i.scdn.co/image/ab67616d00001e02578b0e6109b76bad0821ca71', 'https://i.scdn.co/image/ab67616d00004851578b0e6109b76bad0821ca71']
All of Me	John Legend	Love In The Future (Expanded Edition)	2013-08-30	['https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78', 'https://i.scdn.co/image/ab67616d00001e0294c9217a398f5174757c0c78', 'https://i.scdn.co/image/ab67616d0000485194c9217a398f5174757c0c78']
Good Luck, Babe!	Chappell Roan	Good Luck, Babe!	2024-04-05	['https://i.scdn.co/image/ab67616d0000b27391b4bc7c88d91a42e0f3a8b7', 'https://i.scdn.co/image/ab67616d00001e0291b4bc7c88d91a42e0f3a8b7', 'https://i.scdn.co/image/ab67616d0000485191b4bc7c88d91a42e0f3a8b7']
I'm Good Luv, Enjoy	Aaron May	CHASE	2019-02-28	['https://i.scdn.co/image/ab67616d0000b27353c7a0c956286b6a39185af4', 'https://i.scdn.co/image/ab67616d00001e0253c7a0c956286b6a39185af4', 'https://i.scdn.co/image/ab67616d0000485153c7a0c956286b6a39185af4']
Big Dawgs	Hanumankind,Kalmi	Big Dawgs	2024-07-09	['https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea', 'https://i.scdn.co/image/ab67616d00001e02d9afe5c70c43cb2bd34605ea', 'https://i.scdn.co/image/ab67616d00004851d9afe5c70c43cb2bd34605ea']
Tough	Quavo,Lana Del Rey	Tough	2024-07-03	['https://i.scdn.co/image/ab67616d0000b273e1a7ec3a606b52b7328d3e78', 'https://i.scdn.co/image/ab67616d00001e02e1a7ec3a606b52b7328d3e78', 'https://i.scdn.co/image/ab67616d00004851e1a7ec3a606b52b7328d3e78']
No Role Modelz	J. Cole	2014 Forest Hills Drive	2014-12-09	['https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8', 'https://i.scdn.co/image/ab67616d00001e02c6e0948bbb0681ff29cdbae8', 'https://i.scdn.co/image/ab67616d00004851c6e0948bbb0681ff29cdbae8']
Diet Mountain Dew	Lana Del Rey	Born To Die - The Paradise Edition	2012-01-01	['https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00001e02ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00004851ebc8cfac8b586bc475b04918']
Bad Habit	Steve Lacy	Bad Habit	2022-06-29	['https://i.scdn.co/image/ab67616d0000b2739904ecb0b1148a128bdd5e36', 'https://i.scdn.co/image/ab67616d00001e029904ecb0b1148a128bdd5e36', 'https://i.scdn.co/image/ab67616d000048519904ecb0b1148a128bdd5e36']
MILLION DOLLAR BABY	Tommy Richman	MILLION DOLLAR BABY	2024-04-26	['https://i.scdn.co/image/ab67616d0000b27301c0cd5da820e6128655854f', 'https://i.scdn.co/image/ab67616d00001e0201c0cd5da820e6128655854f', 'https://i.scdn.co/image/ab67616d0000485101c0cd5da820e6128655854f']
Pink + White	Frank Ocean	Blonde	2016-08-20	['https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526', 'https://i.scdn.co/image/ab67616d00001e02c5649add07ed3720be9d5526', 'https://i.scdn.co/image/ab67616d00004851c5649add07ed3720be9d5526']
Kiska Rasta Dekhe - From Joshila	Kishore Kumar,R. D. Burman	Joshila (Original Motion Picture Soundtrack)	1973-01-01	['https://i.scdn.co/image/ab67616d0000b27376e1540a6087249990c918a7', 'https://i.scdn.co/image/ab67616d00001e0276e1540a6087249990c918a7', 'https://i.scdn.co/image/ab67616d0000485176e1540a6087249990c918a7']
Nasty	Tinashe	Nasty	2024-04-12	['https://i.scdn.co/image/ab67616d0000b27399068b5c52ec35ec2db977a7', 'https://i.scdn.co/image/ab67616d00001e0299068b5c52ec35ec2db977a7', 'https://i.scdn.co/image/ab67616d0000485199068b5c52ec35ec2db977a7']
Saiyyan	Kailash Kher,Paresh Kamath,Naresh Kamath	Jhoomo Re	2011-06-03	['https://i.scdn.co/image/ab67616d0000b273cd3f6c3c2f2aa9b76fe635b1', 'https://i.scdn.co/image/ab67616d00001e02cd3f6c3c2f2aa9b76fe635b1', 'https://i.scdn.co/image/ab67616d00004851cd3f6c3c2f2aa9b76fe635b1']
favorite crime	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
Teri Deewani	Kailash Kher,Paresh Kamath,Naresh Kamath	Kailasa	2006-02-24	['https://i.scdn.co/image/ab67616d0000b273a853b902decce7830d171841', 'https://i.scdn.co/image/ab67616d00001e02a853b902decce7830d171841', 'https://i.scdn.co/image/ab67616d00004851a853b902decce7830d171841']
Feel It - From The Original Series Invincible	d4vd	Feel It (From The Original Series “Invincible”)	2024-03-28	['https://i.scdn.co/image/ab67616d0000b273a9da992c2ef398245027d654', 'https://i.scdn.co/image/ab67616d00001e02a9da992c2ef398245027d654', 'https://i.scdn.co/image/ab67616d00004851a9da992c2ef398245027d654']
See You Again (feat. Kali Uchis)	Tyler, The Creator,Kali Uchis	Flower Boy	2017-07-21	['https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3', 'https://i.scdn.co/image/ab67616d00001e028940ac99f49e44f59e6f7fb3', 'https://i.scdn.co/image/ab67616d000048518940ac99f49e44f59e6f7fb3']
Tip Toe	HYBS	Tip Toe	2023-06-20	['https://i.scdn.co/image/ab67616d0000b2733f58c8ae420f64a314d54781', 'https://i.scdn.co/image/ab67616d00001e023f58c8ae420f64a314d54781', 'https://i.scdn.co/image/ab67616d000048513f58c8ae420f64a314d54781']
euphoria	Kendrick Lamar	euphoria	2024-04-30	['https://i.scdn.co/image/ab67616d0000b2737587213b1be294ac4000f648', 'https://i.scdn.co/image/ab67616d00001e027587213b1be294ac4000f648', 'https://i.scdn.co/image/ab67616d000048517587213b1be294ac4000f648']
Hafiz Hafiz	Mohit Chauhan	Laila Majnu (Original Motion Picture Soundtrack)	2018-10-30	['https://i.scdn.co/image/ab67616d0000b273fc8c4535825cdc0bcafde19a', 'https://i.scdn.co/image/ab67616d00001e02fc8c4535825cdc0bcafde19a', 'https://i.scdn.co/image/ab67616d00004851fc8c4535825cdc0bcafde19a']
Those Eyes	New West	Based On A True Story...	2023-10-20	['https://i.scdn.co/image/ab67616d0000b273aacd27a096e6e59ff555b46c', 'https://i.scdn.co/image/ab67616d00001e02aacd27a096e6e59ff555b46c', 'https://i.scdn.co/image/ab67616d00004851aacd27a096e6e59ff555b46c']
Apocalypse	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Please Please Please	Sabrina Carpenter	Please Please Please	2024-06-06	['https://i.scdn.co/image/ab67616d0000b273de84adf0e48248ea2d769c3e', 'https://i.scdn.co/image/ab67616d00001e02de84adf0e48248ea2d769c3e', 'https://i.scdn.co/image/ab67616d00004851de84adf0e48248ea2d769c3e']
FE!N (feat. Playboi Carti)	Travis Scott,Playboi Carti	UTOPIA	2023-07-28	['https://i.scdn.co/image/ab67616d0000b273881d8d8378cd01099babcd44', 'https://i.scdn.co/image/ab67616d00001e02881d8d8378cd01099babcd44', 'https://i.scdn.co/image/ab67616d00004851881d8d8378cd01099babcd44']
traitor	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
so american	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
enough for you	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
1 step forward, 3 steps back	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
bad idea right	Olivia Rodrigo	GUTS	2023-09-08	['https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d', 'https://i.scdn.co/image/ab67616d00001e02e85259a1cae29a8d91f2093d', 'https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d']
obsessed	Olivia Rodrigo	GUTS (spilled)	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2734063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d00001e024063d624ebf8ff67bc3701ee', 'https://i.scdn.co/image/ab67616d000048514063d624ebf8ff67bc3701ee']
happier	Olivia Rodrigo	SOUR	2021-05-21	['https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00001e02a91c10fe9472d9bd89802e5a', 'https://i.scdn.co/image/ab67616d00004851a91c10fe9472d9bd89802e5a']
Espresso	Sabrina Carpenter	Espresso	2024-04-12	['https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5', 'https://i.scdn.co/image/ab67616d00001e02659cd4673230913b3918e0d5', 'https://i.scdn.co/image/ab67616d00004851659cd4673230913b3918e0d5']
Too Sweet	Hozier	Unreal Unearth: Unheard	2024-03-22	['https://i.scdn.co/image/ab67616d0000b2733e1b212546dac35443735241', 'https://i.scdn.co/image/ab67616d00001e023e1b212546dac35443735241', 'https://i.scdn.co/image/ab67616d000048513e1b212546dac35443735241']
Slow Motion Angreza	Shankar-Ehsaan-Loy,Sukhwinder Singh,Loy Mendonsa,Shankar Mahadevan	Bhaag Milkha Bhaag (Original Motion Picture Soundtrack)	2013-06-14	['https://i.scdn.co/image/ab67616d0000b273fd2df008046f04c32d9c0c2e', 'https://i.scdn.co/image/ab67616d00001e02fd2df008046f04c32d9c0c2e', 'https://i.scdn.co/image/ab67616d00004851fd2df008046f04c32d9c0c2e']
Like That	Future,Metro Boomin,Kendrick Lamar	WE DON'T TRUST YOU	2024-03-22	['https://i.scdn.co/image/ab67616d0000b273a46b07c291e6dfdee13b3ee8', 'https://i.scdn.co/image/ab67616d00001e02a46b07c291e6dfdee13b3ee8', 'https://i.scdn.co/image/ab67616d00004851a46b07c291e6dfdee13b3ee8']
CHIHIRO	Billie Eilish	HIT ME HARD AND SOFT	2024-05-17	['https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62']
WILDFLOWER	Billie Eilish	HIT ME HARD AND SOFT	2024-05-17	['https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62', 'https://i.scdn.co/image/ab67616d0000485171d62ea7ea8a5be92d3c1f62']
